,Annual Salary,Experience,Education,Position,Rating,Is Remote,Company Old,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Job Title_-1,Job Title_508 Software Tester,Job Title_Android QA Tester,Job Title_Automation Tester,Job Title_CONTRACT - Technical Tester (Manual/Web QA),Job Title_Cognos Developer,Job Title_Database Tester,Job Title_DevOps Engineer,Job Title_ETL Tester,Job Title_Entry Level Business Analyst,Job Title_Entry Level Software Engineer,Job Title_Entry-level Software Tester - $15/hr - Clemson,Job Title_Functional Test Analyst – Software Tester,Job Title_Functional Tester,Job Title_IBM Mainframe Software Tester,Job Title_IT Software Quality Assurance Testers @ Remote,Job Title_IT Software Tester/QA Analyst 3 (VA80),Job Title_Int. Software Tester,Job Title_Interest Rate Derivative Software Tester/Analyst,Job Title_Jr Software Engineer,Job Title_Jr. QA Tester,Job Title_Jr. Software Tester,Job Title_Junior Software Tester,Job Title_Manual QA Engineer,Job Title_Manual QA Tester,Job Title_Manual Tester,"Job Title_Manual Tester (Atlanta, Georgia)",Job Title_QA Analyst,Job Title_QA Analyst/Tester,Job Title_QA Automation Tester,Job Title_QA Engineer I (REMOTE-Pacific Time Zone Only),Job Title_QA Manual Tester,Job Title_QA Software Tester,Job Title_QA Tester,Job Title_QA Tester (Journeyman),Job Title_QA Tester - 100% remote within Texas,Job Title_QA Tester - Evergreen,Job Title_QA Tester - Junior,Job Title_QA Tester Temp,Job Title_QA Tester(w2),Job Title_Quality Analyst / Software Tester,Job Title_Quality Assurance Analyst,Job Title_Quality Assurance Software Tester,Job Title_Quality Assurance Tester,Job Title_Remote Quality Assurance Tester,Job Title_SOFTWARE TESTER 1 - 46117,Job Title_Salesforce QA Tester,Job Title_Scripting and Programming Foundations (Complex)|| Fresher,Job Title_Scrum Tester - Telecom,Job Title_Senior Manual QA Tester,Job Title_Senior Software Tester,Job Title_ServiceNow Admin/Developer,Job Title_Software Application Tester,Job Title_Software Developer (Remote),Job Title_Software Manual Tester,Job Title_Software QA Analyst & Tester,Job Title_Software QA Analyst/Tester,Job Title_Software QA Engineer (Manual Tester),Job Title_Software QA Tester,Job Title_Software QA Tester (Manual),Job Title_Software QA Tester (REMOTE),Job Title_Software Quality Assurance Analyst,Job Title_Software Quality Assurance Analyst - 100% Remote,Job Title_Software Quality Assurance Tester,Job Title_Software Tester,Job Title_Software Tester (Junior),Job Title_Software Tester (entry level),Job Title_Software Tester - AS/400,Job Title_Software Tester 4,Job Title_Software Tester- Telecommute,Job Title_Sr. QA Tester,Job Title_Sr. UAT Tester,Job Title_Tester,Job Title_Tester I - Software Testing,Job Title_UAT Tester,Job Title_Web Development Foundations (Complex) || Fresher,Type of Ownership_-1,Type of Ownership_Company - Private,Type of Ownership_Company - Public,Type of Ownership_Government,Type of Ownership_Subsidiary or Business Segment,Type of Ownership_Unknown,Time Unit_hr,Time Unit_mo,Time Unit_yr,Revenue_-1,Revenue_$1 to $5 billion (USD),Revenue_$1 to $5 million (USD),Revenue_$10+ billion (USD),Revenue_$100 to $500 million (USD),Revenue_$5 to $10 billion (USD),Revenue_$5 to $25 million (USD),Revenue_$500 million to $1 billion (USD),Revenue_Unknown / Non-Applicable,Company Size_-1,Company Size_1 to 50 Employees,Company Size_10000+ Employees,Company Size_1001 to 5000 Employees,Company Size_201 to 500 Employees,Company Size_5001 to 10000 Employees,Company Size_501 to 1000 Employees,Company Size_51 to 200 Employees,Location_-1,"Location_Addison, TX","Location_Aliso Viejo, CA","Location_Alpharetta, GA","Location_Ann Arbor, MI","Location_Annapolis Junction, MD","Location_Anoka, MN","Location_Atlanta, GA","Location_Auburn Hills, MI","Location_Austin, TX","Location_Baltimore, MD","Location_Bellevue, WA","Location_Berkeley Heights, NJ","Location_Boca Raton, FL","Location_Bonita Springs, FL","Location_Boston, MA","Location_Boulder, CO","Location_Brighton, CO","Location_Charlotte, NC","Location_Chicago, IL","Location_Clemson, SC","Location_College Park, MD","Location_Columbia, SC","Location_Columbus, OH","Location_Denver, CO","Location_Durham, NC","Location_El Segundo, CA","Location_Fort Lauderdale, FL","Location_Fulton, MD","Location_Gainesville, FL","Location_Grand Rapids, MI","Location_Guaynabo, PR","Location_Harrisburg, PA","Location_Herndon, VA","Location_Holtsville, NY","Location_Huntsville, AL","Location_Hyattsville, MD","Location_Irvine, CA","Location_Lanham, MD","Location_Lansing, MI","Location_Largo, MD","Location_Las Vegas, NV","Location_Lenexa, KS","Location_Littleton, CO","Location_Malta, MT","Location_McLean, VA","Location_Mechanicsburg, PA","Location_Melbourne, FL","Location_Menands, NY",Location_Missouri,"Location_Nashville, TN","Location_New Hope, PA","Location_New Orleans, LA","Location_New York, NY","Location_Olympia, WA","Location_Panama City Beach, FL",Location_Pennsylvania,"Location_Plano, TX","Location_Poland, ME","Location_Redmond, WA",Location_Remote,"Location_Reston, VA","Location_Richmond, VA","Location_Riverside, CA","Location_Rosslyn, VA","Location_San Francisco, CA","Location_San Jose, CA","Location_San Juan, PR","Location_Santa Clara, CA","Location_Sayreville, NJ","Location_Schaumburg, IL","Location_Seattle, WA","Location_Solana Beach, CA","Location_South Burlington, VT","Location_Springfield, VA","Location_Suffolk, VA","Location_Tampa, FL","Location_Trenton, NJ",Location_United States,"Location_Washington, DC","Location_Westborough, MA","Location_Westlake Village, Los Angeles, CA","Location_Woodbine, GA"
15,60807.0,1,2,-1,-1,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
16,156000.0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,69165.0,0,2,-1,2.0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18,62807.0,3,1,1,4.0,0,10,3.7,4.1,3.7,3.6,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,65000.0,4,2,-1,3.6,0,-1,2.5,2.5,2.5,2.5,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,50596.0,7,2,1,-1,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,124800.0,5,2,-1,3.9,0,17,3.9,3.9,3.9,3.9,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
26,109200.0,5,1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,75240.0,4,1,-1,3.6,0,-1,3.9,3.6,3.5,3.7,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,77781.0,0,2,1,5.0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,83200.0,2,1,-1,2.6,0,23,2.3,2.2,2.2,2.2,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
